Field Output reported for whole element for region: COMPOSITE-1.Region_2

   Element Label            EVOL
                          @Loc 1
---------------------------------
           45670     11.2918E-03
           45671     12.2235E-03
           45672     14.6825E-03
           45673     16.3093E-03
           45674     12.9687E-03
           45675     10.4307E-03
           45676     10.8241E-03
           45677     11.4548E-03
           45678     11.2961E-03
           45679     18.7496E-03
           45680     15.5854E-03
           45681     16.2824E-03
           45682     10.3562E-03
           45683     17.2499E-03
           45684     19.8543E-03
           45685     15.7593E-03
           45686     12.4631E-03
           45687     11.4011E-03
           45688     19.2371E-03
           45689     13.7078E-03
           45690     12.2148E-03
           45691     13.8737E-03
           45692     6.80156E-03
           45693     8.76501E-03
           45694     16.7728E-03
           45695     22.0243E-03
           45696     15.1852E-03
           45697     16.6812E-03
           45698     12.8872E-03
           45699     24.4639E-03
           45700     13.5171E-03
           45701     21.2305E-03
           45702     10.7413E-03
           45703     11.4398E-03
           45704     16.4024E-03
           45705     12.8112E-03
           45706     10.7297E-03
           45707     13.9955E-03
           45708     24.8197E-03
           45709     16.9389E-03
           45710     11.3130E-03
           45711     10.3024E-03
           45712     14.2665E-03
           45713     8.54222E-03
           45714     1.45859E-03
           45715     12.0438E-03
           45716     7.21755E-03
           45717     20.0016E-03
           45718     6.93787E-03
           45719     11.7261E-03
           45720     14.2929E-03
           45721     17.8524E-03
           45722     12.7369E-03
           45723     11.6937E-03
           45724     11.3252E-03
           45725     8.40622E-03
           45726     9.07061E-03
           45727     17.7131E-03
           45728     12.7597E-03
           45729     12.5475E-03
           45730     14.1238E-03
           45731     16.1307E-03
           45732     14.9159E-03
           45733     15.7415E-03
           45734     14.5703E-03
           45735     12.0479E-03
           45736     14.2810E-03
           45737     7.05371E-03
           45738     8.81740E-03
           45739     9.26784E-03
           45740     4.89478E-03
           45741     9.15551E-03
           45742     12.5683E-03
           45743     16.7606E-03
           45744     18.6193E-03
           45745     15.9229E-03
           45746     24.0135E-03
           45747     12.1607E-03
           45748     9.61992E-03
           45749     24.3047E-03
           45750     23.0175E-03
           45751     8.68180E-03
           45752     14.1117E-03
           45753     13.0443E-03
           45754     9.91978E-03
           45755     7.31696E-03
           45756     11.2215E-03
           45757     11.6360E-03
           45758     18.5228E-03
           45759     28.9621E-03
           45760     11.5857E-03
           45761     11.5857E-03
           45762     11.5857E-03
           45763     21.4647E-03
           45764     13.3038E-03
           45765     20.3379E-03
           45766     17.4737E-03
           45767     13.9608E-03
           45768     13.0284E-03
           45769     8.42940E-03
           45770     12.3004E-03
           45771     815.699E-06
           45772     12.8094E-03
           45773     15.2959E-03
           45774     8.84677E-03
           45775     12.1616E-03
           45776     16.8704E-03
           45777     22.7464E-03
           45778     18.7982E-03
           45779     26.2143E-03
           45780     21.2551E-03
           45781     14.3720E-03
           45782     1.71587E-03
           45783     23.2232E-03
           45784     13.2776E-03
           45785     16.5421E-03
           45786     18.2125E-03
           45787     30.6143E-03
           45788     11.9034E-03
           45789     14.1286E-03
           45790     29.5080E-03
           45791     16.7702E-03
           45792     21.6483E-03
           45793     6.79616E-03
           45794     8.30868E-03
           45795     13.7434E-03
           45796     12.0481E-03
           45797     13.4901E-03
           45798     12.7240E-03
           45799     7.18383E-03
           45800     13.3792E-03
           45801     6.50878E-03
           45802     17.3891E-03
           45803     24.9766E-03
           45804     16.7777E-03
           45805     23.4488E-03
           45806     31.0353E-03
           45807     15.2651E-03
           45808     5.10232E-03
           45809     34.9138E-03
           45810     14.4508E-03
           45811     15.3103E-03
           45812     8.72768E-03
           45813     6.25131E-03
           45814     20.9828E-03
           45815     14.5129E-03
           45816     18.4380E-03
           45817     15.4121E-03
           45818     24.0093E-03
           45819     5.30862E-03
           45820     14.2872E-03
           45821     17.6607E-03
           45822     16.2579E-03
           45823     9.65282E-03
           45824     22.0884E-03
           45825     12.7674E-03
           45826     2.26920E-03
           45827     15.0746E-03
           45828     13.2467E-03
           45829     6.21202E-03
           45830     15.6108E-03
           45831     14.9348E-03
           45832     17.1741E-03
           45833     24.7744E-03
           45834     16.0871E-03
           45835     10.1822E-03
           45836     18.1271E-03
           45837     11.9759E-03
           45838     26.8639E-03
           45839     11.1382E-03
           45840     13.3306E-03
           45841     9.03642E-03
           45842     12.3831E-03
           45843     23.6756E-03
           45844     25.6465E-03
           45845     11.4245E-03
           45846     4.90818E-03
           45847     18.5091E-03
           45848     9.46328E-03
           45849     8.32854E-03
           45850     15.7082E-03
           45851     27.6903E-03
           45852     19.6452E-03
           45853     14.0046E-03
           45854     15.0601E-03
           45855     10.7541E-03
           45856     11.7699E-03
           45857     17.0456E-03
           45858     13.0615E-03
           45859     19.1381E-03
           45860     14.7513E-03
           45861     8.91033E-03
           45862     13.0223E-03
